park_name,total_count,walk_count,run_count,cycle_count,paddle_count
Addison Blockhouse Historic State Park,5,3,0,2,0
Alafia River State Park,373,179,6,188,0
Alfred B. Maclay Gardens State Park,62,59,0,3,0
Allen David Broussard Catfish Creek Preserve State Park,42,41,0,1,0
Amelia Island State Park,0,0,0,0,0
Anastasia State Park,74,72,2,0,0
Anclote Key Preserve State Park,0,0,0,0,0
Anderson's Landing (Managed by Manatee Springs State Park),0,0,0,0,0
Atlantic Ridge Preserve State Park,0,0,0,0,0
Avalon State Park,0,0,0,0,0
Bahia Honda State Park,9,9,0,0,0
Bald Point State Park,0,0,0,0,0
Big Lagoon State Park,64,58,1,5,0
Big Shoals State Park,66,63,1,2,0
Big Talbot Island State Park,19,17,0,2,0
Bill Baggs Cape Florida State Park,35,34,0,1,0
Blackwater River State Park,44,44,0,0,0
Blue Spring State Park,56,52,0,1,3
Bulow Creek State Park,58,54,0,3,1
Bulow Plantation Ruins Historic State Park,22,22,0,0,0
Caladesi Island State Park,16,16,0,0,0
Camp Helen State Park,18,18,0,0,0
Cayo Costa State Park,2,2,0,0,0
Cedar Key Museum State Park,0,0,0,0,0
Cedar Key Scrub State Reserve,10,10,0,0,0
Charlotte Harbor Preserve State Park,15,14,0,1,0
Cockroach Bay Preserve State Park,0,0,0,0,0
Collier-Seminole State Park,25,24,0,1,0
Colt Creek State Park,55,50,3,2,0
Constitution Convention Museum State Park,0,0,0,0,0
Crystal River Archaeological State Park,11,10,1,0,0
Crystal River Preserve State Park,44,42,1,1,0
Curry Hammock State Park,6,6,0,0,0
Dade Battlefield Historic State Park,0,0,0,0,0
Dagny Johnson Key Largo Hammock Botanical State Park,5,4,0,1,0
De Leon Springs State Park,17,16,1,0,0
Deer Lake State Park,0,0,0,0,0
Delnor-Wiggins Pass State Park,6,6,0,0,0
Don Pedro Island State Park,0,0,0,0,0
Dr. Julian G. Bruce St. George Island State Park,18,17,0,1,0
Dr. Von D. Mizell-Eula Johnson State Park,0,0,0,0,0
Dudley Farm Historic State Park,0,0,0,0,0
Dunns Creek State Park,11,11,0,0,0
Econfina River State Park,0,0,0,0,0
Eden Gardens State Park,0,0,0,0,0
Edward Ball Wakulla Springs State Park,36,32,1,3,0
Egmont Key State Park,4,4,0,0,0
Ellie Schiller Homosassa Springs Wildlife State Park,0,0,0,0,0
Estero Bay Preserve State Park,52,51,0,1,0
Fakahatchee Strand Preserve State Park,37,37,0,0,0
Falling Waters State Park,26,26,0,0,0
Fanning Springs State Park,0,0,0,0,0
Faver-Dykes State Park,8,8,0,0,0
Fernandina Plaza Historic State Park,0,0,0,0,0
Florida Caverns State Park,24,24,0,0,0
Forest Capital Museum State Park,0,0,0,0,0
Fort Clinch State Park,65,61,0,4,0
Fort Cooper State Park,3,2,1,0,0
Fort George Island Cultural State Park,35,35,0,0,0
Fort Mose Historic State Park,0,0,0,0,0
Fort Pierce Inlet State Park,0,0,0,0,0
Fort Zachary Taylor Historic State Park,14,14,0,0,0
Fred Gannon Rocky Bayou State Park,0,0,0,0,0
Gamble Rogers Memorial State Recreation Area at Flagler Beach,0,0,0,0,0
Gasparilla Island State Park,0,0,0,0,0
George Crady Bridge Fishing Pier State Park,0,0,0,0,0
Grayton Beach State Park,91,84,3,3,1
Haw Creek Preserve State Park,0,0,0,0,0
Henderson Beach State Park,10,10,0,0,0
Highlands Hammock State Park,155,149,0,6,0
Hillsborough River State Park,348,344,0,2,2
Honeymoon Island State Park,113,107,3,3,0
Hontoon Island State Park,35,34,0,1,0
Hugh Taylor Birch State Park,59,57,1,1,0
Ichetucknee Springs State Park,29,20,0,0,9
Indian Key Historic State Park,0,0,0,0,0
Indian River Lagoon Preserve State Park,0,0,0,0,0
John D. MacArthur Beach State Park,37,37,0,0,0
John Gorrie Museum State Park,0,0,0,0,0
John Pennekamp Coral Reef State Park,43,36,0,0,7
Jonathan Dickinson State Park,305,168,8,129,0
Judah P. Benjamin Confederate Memorial at Gamble Plantation Historic State Park,0,0,0,0,0
Kissimmee Prairie Preserve State Park,40,39,0,1,0
Koreshan State Park,37,37,0,0,0
Lafayette Blue Spring State Park,1,1,0,0,0
Lake Griffin State Park,12,11,0,0,1
Lake Jackson Mounds Archaeological State Park,25,25,0,0,0
Lake June-in-Winter Scrub Preserve State Park,0,0,0,0,0
Lake Kissimmee State Park,48,44,0,4,0
Lake Louisa State Park,148,141,1,6,0
Lake Manatee State Park,14,14,0,0,0
Lake Talquin State Park,0,0,0,0,0
Letchworth-Love Mounds Archaeological State Park,0,0,0,0,0
Lignumvitae Key Botanical State Park,0,0,0,0,0
Little Manatee River State Park,216,214,1,0,1
Little Talbot Island State Park,101,98,1,2,0
Long Key State Park,22,21,0,0,1
Lovers Key State Park,97,94,0,3,0
Lower Wekiva River Preserve State Park,27,27,0,0,0
Madison Blue Spring State Park,0,0,0,0,0
Manatee Springs State Park,27,24,0,2,1
Marjorie Harris Carr Cross Florida Greenways State Recreation and Conservation Area,0,0,0,0,0
Marjorie Kinnan Rawlings Historic State Park,0,0,0,0,0
Mike Roess Gold Head Branch State Park,0,0,0,0,0
Mound Key Archaeological State Park,0,0,0,0,0
Myakka River State Park,239,229,0,9,1
Natural Bridge Battlefield Historic State Park,1,1,0,0,0
North Peninsula State Park,0,0,0,0,0
Ochlockonee River State Park,7,7,0,0,0
Okeechobee Battlefield Historic State Park,0,0,0,0,0
O'Leno State Park,161,155,3,2,1
Oleta River State Park,0,0,0,0,0
Olustee Battlefield Historic State Park,0,0,0,0,0
Orman House Historic State Park,0,0,0,0,0
Oscar Scherer State Park,60,59,0,0,1
Paynes Creek Historic State Park,0,0,0,0,0
Paynes Prairie Preserve State Park,188,180,3,5,0
Perdido Key State Park,0,0,0,0,0
Ponce de Leon Springs State Park,6,6,0,0,0
Pumpkin Hill Creek Preserve State Park,13,13,0,0,0
Rainbow Springs State Park,43,42,0,0,1
Ravine Gardens State Park,61,60,0,1,0
River Rise Preserve State Park,32,32,0,0,0
Rock Springs Run State Reserve,29,24,0,4,1
Ruth B. Kirby Gilchrist Blue Springs State Park,0,0,0,0,0
San Felasco Hammock Preserve State Park,240,205,8,27,0
San Pedro Underwater Archaeological Preserve State Park,0,0,0,0,0
Savannas Preserve State Park,43,41,0,2,0
Seabranch Preserve State Park,28,27,0,1,0
Sebastian Inlet State Park,0,0,0,0,0
Silver Springs State Park,168,152,0,5,11
Skyway Fishing Pier State Park,0,0,0,0,0
South Fork State Park,0,0,0,0,0
St. Andrews State Park,29,29,0,0,0
St. Lucie Inlet Preserve State Park,0,0,0,0,0
