park_name,total_count,walk_count,run_count,cycle_count,paddle_count
Addison Blockhouse Historic State Park,0,0,0,0,0
Alafia River State Park,14,2,0,7,5
Alfred B. Maclay Gardens State Park,0,0,0,0,0
Allen David Broussard Catfish Creek Preserve State Park,2,2,0,0,0
Amelia Island State Park,0,0,0,0,0
Anastasia State Park,11,6,0,3,2
Anclote Key Preserve State Park,1,0,0,0,1
Anderson's Landing (Managed by Manatee Springs State Park),0,0,0,0,0
Atlantic Ridge Preserve State Park,1,0,0,0,1
Avalon State Park,0,0,0,0,0
Bahia Honda State Park,5,4,0,1,0
Bald Point State Park,0,0,0,0,0
Big Lagoon State Park,32,20,7,3,2
Big Shoals State Park,10,7,0,3,0
Big Talbot Island State Park,0,0,0,0,0
Bill Baggs Cape Florida State Park,38,20,3,11,4
Blackwater River State Park,1,1,0,0,0
Blue Spring State Park,16,9,0,2,5
Bulow Creek State Park,19,15,1,0,3
Bulow Plantation Ruins Historic State Park,1,1,0,0,0
Caladesi Island State Park,0,0,0,0,0
Camp Helen State Park,0,0,0,0,0
Cayo Costa State Park,1,0,0,0,1
Cedar Key Museum State Park,1,1,0,0,0
Cedar Key Scrub State Reserve,2,2,0,0,0
Charlotte Harbor Preserve State Park,6,2,0,0,4
Cockroach Bay Preserve State Park,0,0,0,0,0
Collier-Seminole State Park,21,2,0,0,19
Colt Creek State Park,4,3,0,0,1
Constitution Convention Museum State Park,0,0,0,0,0
Crystal River Archaeological State Park,0,0,0,0,0
Crystal River Preserve State Park,3,2,0,0,1
Curry Hammock State Park,7,0,0,2,5
Dade Battlefield Historic State Park,0,0,0,0,0
Dagny Johnson Key Largo Hammock Botanical State Park,0,0,0,0,0
De Leon Springs State Park,9,5,0,0,4
Deer Lake State Park,0,0,0,0,0
Delnor-Wiggins Pass State Park,5,0,0,0,5
Don Pedro Island State Park,2,0,0,1,1
Dr. Julian G. Bruce St. George Island State Park,4,4,0,0,0
Dr. Von D. Mizell-Eula Johnson State Park,4,2,0,0,2
Dudley Farm Historic State Park,0,0,0,0,0
Dunns Creek State Park,0,0,0,0,0
Econfina River State Park,0,0,0,0,0
Eden Gardens State Park,0,0,0,0,0
Edward Ball Wakulla Springs State Park,1,1,0,0,0
Egmont Key State Park,0,0,0,0,0
Ellie Schiller Homosassa Springs Wildlife State Park,0,0,0,0,0
Estero Bay Preserve State Park,0,0,0,0,0
Fakahatchee Strand Preserve State Park,32,6,0,0,26
Falling Waters State Park,5,5,0,0,0
Fanning Springs State Park,0,0,0,0,0
Faver-Dykes State Park,5,4,0,0,1
Fernandina Plaza Historic State Park,0,0,0,0,0
Florida Caverns State Park,9,7,0,0,2
Forest Capital Museum State Park,0,0,0,0,0
Fort Clinch State Park,2,0,0,2,0
Fort Cooper State Park,2,2,0,0,0
Fort George Island Cultural State Park,0,0,0,0,0
Fort Mose Historic State Park,0,0,0,0,0
Fort Pierce Inlet State Park,0,0,0,0,0
Fort Zachary Taylor Historic State Park,2,1,0,0,1
Fred Gannon Rocky Bayou State Park,39,33,6,0,0
Gamble Rogers Memorial State Recreation Area at Flagler Beach,2,0,0,1,1
Gasparilla Island State Park,0,0,0,0,0
George Crady Bridge Fishing Pier State Park,0,0,0,0,0
Grayton Beach State Park,4,1,0,1,2
Haw Creek Preserve State Park,0,0,0,0,0
Henderson Beach State Park,3,3,0,0,0
Highlands Hammock State Park,9,6,0,0,3
Hillsborough River State Park,13,10,0,1,2
Honeymoon Island State Park,8,7,0,0,1
Hontoon Island State Park,5,5,0,0,0
Hugh Taylor Birch State Park,2,1,0,1,0
Ichetucknee Springs State Park,14,4,0,1,9
Indian Key Historic State Park,0,0,0,0,0
Indian River Lagoon Preserve State Park,0,0,0,0,0
John D. MacArthur Beach State Park,1,0,0,0,1
John Gorrie Museum State Park,0,0,0,0,0
John Pennekamp Coral Reef State Park,6,0,0,0,6
Jonathan Dickinson State Park,11,6,0,0,5
Judah P. Benjamin Confederate Memorial at Gamble Plantation Historic State Park,0,0,0,0,0
Kissimmee Prairie Preserve State Park,12,8,0,0,4
Koreshan State Park,16,2,0,6,8
Lafayette Blue Springs State Park,0,0,0,0,0
Lake Griffin State Park,2,2,0,0,0
Lake Jackson Mounds Archaeological State Park,0,0,0,0,0
Lake June-in-Winter Scrub Preserve State Park,0,0,0,0,0
Lake Kissimmee State Park,13,12,0,0,1
Lake Louisa State Park,23,20,0,2,1
Lake Manatee State Park,3,0,0,1,2
Lake Talquin State Park,0,0,0,0,0
Letchworth-Love Mounds Archaeological State Park,0,0,0,0,0
Lignumvitae Key Botanical State Park,4,2,0,0,2
Little Manatee River State Park,8,7,0,0,1
Little Talbot Island State Park,1,1,0,0,0
Long Key State Park,3,3,0,0,0
Lovers Key State Park,56,2,0,1,53
Lower Wekiva River Preserve State Park,16,11,0,0,5
Madison Blue Spring State Park,0,0,0,0,0
Manatee Springs State Park,20,8,0,9,3
Marjorie Harris Carr Cross Florida Greenways State Recreation and Conservation Area,53,36,0,3,14
Marjorie Kinnan Rawlings Historic State Park,0,0,0,0,0
Mike Roess Gold Head Branch State Park,6,6,0,0,0
Mound Key Archaeological State Park,1,0,0,0,1
Myakka River State Park,25,12,0,7,6
Natural Bridge Battlefield Historic State Park,0,0,0,0,0
North Peninsula State Park,3,3,0,0,0
Ochlockonee River State Park,1,1,0,0,0
Okeechobee Battlefield Historic State Park,0,0,0,0,0
O'Leno State Park,4,3,0,0,1
Oleta River State Park,46,14,4,13,15
Olustee Battlefield Historic State Park,2,2,0,0,0
Orman House Historic State Park,0,0,0,0,0
Oscar Scherer State Park,23,7,0,14,2
Paynes Creek Historic State Park,2,1,0,0,1
Paynes Prairie Preserve State Park,50,37,2,10,1
Perdido Key State Park,0,0,0,0,0
Ponce de Leon Springs State Park,0,0,0,0,0
Pumpkin Hill Creek Preserve State Park,0,0,0,0,0
Rainbow Springs State Park,6,6,0,0,0
Ravine Gardens State Park,2,2,0,0,0
River Rise Preserve State Park,1,1,0,0,0
Rock Springs Run State Reserve,3,2,0,0,1
Ruth B. Kirby Gilchrist Blue Springs State Park,0,0,0,0,0
San Felasco Hammock Preserve State Park,26,20,1,2,3
San Pedro Underwater Archaeological Preserve State Park,0,0,0,0,0
Savannas Preserve State Park,7,7,0,0,0
Seabranch Preserve State Park,2,1,0,0,1
Sebastian Inlet State Park,6,3,0,1,2
Silver Springs State Park,38,22,0,1,15
Skyway Fishing Pier State Park,0,0,0,0,0
South Fork State Park,0,0,0,0,0
St. Andrews State Park,15,10,4,0,1
St. Lucie Inlet Preserve State Park,0,0,0,0,0
St. Marks River Preserve State Park,0,0,0,0,0
St. Sebastian River Preserve State Park,9,9,0,0,0
Stephen Foster Folk Culture Center State Park,12,4,4,4,0
Stump Pass Beach State Park,0,0,0,0,0
Suwannee River State Park,3,1,0,0,2
T.H. Stone Memorial St. Joseph Peninsula State Park,5,3,0,1,1
Tarkiln Bayou Preserve State Park,11,11,0,0,0
Terra Ceia Preserve State Park,0,0,0,0,0
The Barnacle Historic State Park,0,0,0,0,0
Three Rivers State Park,0,0,0,0,0
Tomoka State Park,4,1,0,3,0
Topsail Hill Preserve State Park,10,1,6,0,3
